university,,type,State,,Year of Formation
The Institute Of Chartered Financial Analysts Of India University,,Private,Sikkim,,2004
The Neotia University,,Private,West Bengal,,2015
The Rajiv Gandhi National University of Law,,State,Punjab,,2006
The Rashtrasant Tukadoji Maharaj Nagpur University,,State,Maharashtra,,1923
The West Bengal National University of Juridical Science,,State,West Bengal,,2004
The West Bengal University of Health Sciences,,State,West Bengal,,2002
Thiruvalluvar University,,State,Tamil Nadu,,2003
Thopar Institute Of Engineering & Technology,,Deemed,Punjab,,1985
Thunchath Ezhuthachan Malayalam University,,State,Kerala,,2013
Tilak Maharashtra Vidyapeeth,,Deemed,Maharashtra,,1987
Tripura University,,Central,Tripura,,1987
Tumkur University,,State,Karnataka,,2004
Uka Tarsadia University,,Private,Gujarat,,2011
University of Agricultural Sciences,,State,Karnataka,,1964
University of Agricultural Sciences,,State,Karnataka,,1986
University of Allahabad,,Central,Uttar Pradesh,,1887
University of Engineering & Management,,Private,Rajasthan,,2012
University of Engineering and Management,,Private,West Bengal,,2015
University of Horticultural Sciences,,State,Karnataka,,2008
University of Kota,,State,Rajasthan,,2003
University of Patanjali,,Private,Uttarakhand,,2006
University of Petroleum and Energy Studies,,Private,Uttarakhand,,2003
University of Science & Technology,,Private,Meghalaya,,2008
University of Technology & Management,,Private,Meghalaya,,2011
UP King George’s University of Dental Science,,State,Uttar Pradesh,,2004
Up Rajarshi Tandon Open University,,State,Uttar Pradesh,,2004
Utkal University,,State,Odisha,,1943
Utkal University of Culture,,State,Odisha,,1999
Uttar Banga Krishi Vishwavidyalaya,,State,West Bengal,,2001
Uttar Pradesh Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go- Anusandhan Sansthan,,State,Uttar Pradesh,,2001
Uttar Pradesh Technical University,,State,Uttar Pradesh,,2001
Uttar Pradesh Viklang Uddhar Dr Shakuntala Misra National Rehabilitation University,,State,Uttar Pradesh,,2008
Uttarakhand Ayurved University,,State,Uttarakhand,,2009
Uttarakhand Open University,,State,Uttarakhand,,2005
Uttarakhand Sanskrit University,,State,Uttarakhand,,2005
Uttarakhand University of Horticulture & Forestry,,State,Uttarakhand,,2011
Uttaranchal University,,Private,Uttarakhand,,2013
Uttrakhand Technical University,,State,Uttarakhand,,2008
Vardhman Mahaveer Open University,,State,Rajasthan,,1987
Veer Bahadur Singh Purvanchal University,,State,Uttar Pradesh,,1987
Veer Kunwar Singh University,,State,Bihar,,1994
Veer Narmad South Gujarat University,,State,Gujarat,,1965
Veer Surendra Sai University of Technology,,State,Odisha,,2009
Vel Tech Rangarajan Dr Sagunthala R & D Institute Of Science And Technology,,Deemed,Tamil Nadu,,2008
Vellore Institute Of Technology,,Deemed,Tamil Nadu,,2001
Vels Institute Of Science Technology & Advanced Studies (Vistas),,Deemed,Tamil Nadu,,2008
Venkateshwara Open University,,Private,Arunachal Pradesh,,2012
Vesveswaraiah Technological University,,State,Karnataka,,1999
Vidya Sagar University,,State,West Bengal,,1981
Vignan'S Foundation For Science Technology And Research,,Deemed,Andhra Pradesh,,2008
Vijayanagara Sri Krishnadevaraya University,,State,Karnataka,,2010
Vikram Simhapuri University,,State,Andhra Pradesh,,2008
Vikram University,,State,Madhya Pradesh,,1957
Vinayaka Mission’S Research Foundation,,Deemed,Tamil Nadu,,2001
Vinayaka Missions Sikkim University,,Private,Sikkim,,2008
Vinoba Bhave University,,State,Jharkhand,,1993
Vishwa Bharati University,,Central,West Bengal,,1951
Vivekananda Global University,,Private,Rajasthan,,2012
West Bengal State University,,State,West Bengal,,2007
West Bengal University of Animal and Fishery,,State,West Bengal,,1995
William Carey University,,Private,Meghalaya,,2005
Xavier University,,Private,Odisha,,2013
Yashwant Rao Chavan Maharashtra Open University,,State,Maharashtra,,1990
Yenepoya University,,Deemed,Karnataka,,2008
YMCA University of Science & Technology,,State,Haryana,,2009
Yogi Vemana University,,State,Andhra Pradesh,,2006
